CHXX0001, Acheng
CHXX0002, Ang'angxi
CHXX0003, Anning
CHXX0004, Anshan
CHXX0005, Anshun
CHXX0006, Baiyin
CHXX0007, Baotou
CHXX0008, Beijing
CHXX0009, Boyang
CHXX0010, Changchun
CHXX0011, Changji
CHXX0012, Changping
CHXX0013, Changsha
CHXX0014, Changshu
CHXX0015, Changzhou
CHXX0016, Chengdu
CHXX0017, Chongqing
CHXX0018, Dalad Qi
CHXX0019, Dalian
CHXX0020, Daodi
CHXX0021, Daolin
CHXX0022, Datun
CHXX0023, Daxing
CHXX0024, Dingxi
CHXX0025, Dingxian
CHXX0026, Fengcheng
CHXX0027, Fengtai
CHXX0028, Foshan
CHXX0029, Fushun
CHXX0030, Fu-sui
CHXX0031, Fuzhou
CHXX0032, Gangu
CHXX0033, Gaoyi
CHXX0034, Gonggar
CHXX0035, Gongxian
CHXX0036, Guang'an
CHXX0037, Guangzhou
CHXX0038, Guiding
CHXX0039, Guiyang
CHXX0040, Guyang
CHXX0041, Haicheng
CHXX0042, Haining
CHXX0043, Hangu
CHXX0044, Hangzhou
CHXX0045, Hanjiang
CHXX0046, Harbin
CHXX0047, Hechuan
CHXX0048, Hejiang
CHXX0049, Hong Kong
CHXX0050, Huangpi
CHXX0051, Huangshi
CHXX0052, Hua-yang
CHXX0053, Huizhou
CHXX0054, Hulan
CHXX0055, Hushitai
CHXX0056, Huzhou
CHXX0057, Jiangjin
CHXX0058, Jiangmen
CHXX0059, Jianyang
CHXX0060, Jiaonan
CHXX0061, Jiaoxian
CHXX0062, Jiaxing
CHXX0063, Jilin
CHXX0064, Jinan
CHXX0065, Jinghai
CHXX0066, Jingyuan
CHXX0067, Jinzhou
CHXX0068, Jiujiang
CHXX0069, Jiutai
CHXX0070, Jiuzhen
CHXX0071, Jurong
CHXX0072, Kaifeng
CHXX0073, Kaiyang
CHXX0074, Kashi
CHXX0075, Kowloon
CHXX0076, Kunming
CHXX0077, Kunyang
CHXX0078, Lanxi
CHXX0079, Lanzhou
CHXX0080, Lhasa
CHXX0081, Liaoyang
CHXX0082, Lintong
CHXX0083, Liuyang
CHXX0084, Longli
CHXX0085, Luhe
CHXX0086, Luoyang
CHXX0087, Lushun
CHXX0088, Luzhou
CHXX0089, Manas
CHXX0090, Maoming
CHXX0091, Meishan
CHXX0092, Mengxian
CHXX0093, Minhang
CHXX0094, Minqing
CHXX0095, Miquan
CHXX0096, Miyun
CHXX0097, Nanchang
CHXX0098, Nanchong
CHXX0099, Nanjing
CHXX0100, Nanning
CHXX0101, Nantong
CHXX0102, Nanxiang
CHXX0103, Neijiang
CHXX0104, New Kowloon
CHXX0105, Niuzhuang
CHXX0106, Pingyao
CHXX0107, Pingyin
CHXX0108, Poli
CHXX0109, Pukou
CHXX0110, Qingdao
CHXX0111, Qingjiang
CHXX0112, Qiqihar
CHXX0113, Qitai
CHXX0114, Quanzhou
CHXX0115, Shache
CHXX0116, Shanghai
CHXX0117, Shaoxing
CHXX0118, Shashi
